file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_065306.lvm,932783,200320,182017,267007,1153
client_storage/R2017_10_06/M171006_080716.lvm,928614,215232,212453,291275,1298
client_storage/R2017_10_06/M171006_072651.lvm,932086,200048,182056,262501,1119
client_storage/R2017_10_06/M171006_064811.lvm,929583,198300,178247,261255,1000
client_storage/R2017_10_06/M171006_073244.lvm,933930,201984,184448,271459,1259
client_storage/R2017_10_06/M171006_073715.lvm,925247,210296,198937,281365,1189
client_storage/R2017_10_06/M171006_080402.lvm,933339,201184,177717,261259,1166
client_storage/R2017_10_06/M171006_063613.lvm,935174,199548,181327,264872,1304
client_storage/R2017_10_06/M171006_030354.lvm,933512,197456,180112,267306,1142
client_storage/R2017_10_06/M171006_081013.lvm,932193,200068,181961,264653,1080
client_storage/R2017_10_06/M171006_054908.lvm,924689,208972,197587,282161,1257
client_storage/R2017_10_06/M171006_055021.lvm,934155,198288,174545,259132,1188
client_storage/R2017_10_06/M171006_084836.lvm,916743,201628,176910,270775,1100
client_storage/R2017_10_06/M171006_071849.lvm,928737,198724,177561,264569,1285
client_storage/R2017_10_06/M171006_083038.lvm,928727,205792,184912,273389,1248
client_storage/R2017_10_06/M171006_062554.lvm,933143,200532,178767,265679,1175
client_storage/R2017_10_06/M171006_055205.lvm,927814,197744,177534,267076,1165
client_storage/R2017_10_06/M171006_074236.lvm,935803,198268,186013,266310,1279
client_storage/R2017_10_06/M171006_083450.lvm,925951,202412,190162,272137,1299
client_storage/R2017_10_06/M171006_032930.lvm,934153,204612,188260,272798,1213
client_storage/R2017_10_06/M171006_074110.lvm,924279,214240,213464,288368,1254
client_storage/R2017_10_06/M171006_054746.lvm,934121,197944,177035,263710,1175
client_storage/R2017_10_06/M171006_065532.lvm,932823,200440,179081,266617,1262
client_storage/R2017_10_06/M171006_062039.lvm,929380,199800,177155,264675,1256
client_storage/R2017_10_06/M171006_081239.lvm,935859,199420,179858,264060,1116
client_storage/R2017_10_06/M171006_004831.lvm,938823,201072,179805,265840,930
client_storage/R2017_10_06/M171006_084336.lvm,924057,201600,182177,269379,1178
client_storage/R2017_10_06/M171006_083446.lvm,928334,203652,183134,269839,1273
client_storage/R2017_10_06/M171006_055146.lvm,933779,202392,179387,266193,1166
client_storage/R2017_10_06/M171006_084542.lvm,925324,203360,182540,270620,1204
client_storage/R2017_10_06/M171006_044014.lvm,929763,199928,175786,265512,1151
client_storage/R2017_10_06/M171006_083259.lvm,928320,203104,181164,270330,1264
