,ultrafast,superfast,veryfast,faster,fast,medium,slow,slower,veryslow
count,6103.00,6103.00,6103.00,6103.00,6103.00,6103.00,6103.00,6103.00,6103.00
mean,7.89,6.45,2.88,3.38,3.81,3.79,2.97,2.89,2.33
std,5.66,6.19,1.85,2.17,2.64,2.66,1.39,1.40,0.82
min,1.24,1.06,0.73,0.81,0.89,0.96,0.98,1.02,0.88
25%,4.05,2.35,1.52,1.79,1.89,1.90,1.88,1.81,1.67
50%,5.09,2.94,1.90,2.25,2.36,2.33,2.30,2.20,2.00
75%,8.96,7.79,4.06,4.66,5.20,5.03,4.10,3.99,3.03
max,24.79,21.49,9.19,10.74,11.54,11.55,7.64,7.52,5.59
